Wavelength (nm),i
820.7999878,99.31448364
821,99.33027649
821.2000122,99.37480927
821.4000244,99.44020844
821.5999756,99.31437683
821.7999878,99.36727905
822,99.40084839
822.2000122,99.39125061
822.4000244,99.40419769
822.5999756,99.32189941
822.7999878,99.43747711
823,99.4574585
823.2000122,99.45394897
823.4000244,99.35877991
823.5999756,99.41929626
823.7999878,99.48822784
824,99.43190765
824.2000122,99.40094757
824.4000244,99.43187714
824.5999756,99.51158905
824.7999878,99.43658447
825,99.43366241
825.2000122,99.43579102
825.4000244,99.4258728
825.5999756,99.45567322
825.7999878,99.46672058
826,99.46843719
826.2000122,99.53466034
826.4000244,99.43092346
826.5999756,99.3820343
826.7999878,99.46760559
827,99.43643188
827.2000122,99.43667603
827.4000244,99.37892151
827.5999756,99.49924469
827.7999878,99.47612
828,99.41175842
828.2000122,99.28821564
828.4000244,99.32134247
828.5999756,99.42269135
828.7999878,99.32394409
829,99.24291992
829.2000122,99.16824341
829.4000244,99.14454651
829.5999756,99.05345917
829.7999878,98.92481232
830,98.92579651
830.2000122,98.7802887
830.4000244,98.64440918
830.5999756,98.53988647
830.7999878,98.26377869
831,98.06188965
831.2000122,97.86641693
831.4000244,97.62789917
831.5999756,97.4420929
831.7999878,97.02949524
832,96.73457336
832.2000122,96.37091827
832.4000244,96.03351593
832.5999756,95.57575226
832.7999878,95.14638519
833,94.63308716
833.2000122,94.24684143
833.4000244,93.62438965
833.5999756,93.03007507
833.7999878,92.49838257
834,91.84835815
834.2000122,91.19065094
834.4000244,90.42716217
834.5999756,89.73157501
834.7999878,89.09785461
835,88.40971375
835.2000122,87.47184753
835.4000244,86.71800232
835.5999756,85.78300476
835.7999878,85.10792542
836,84.0398407
836.2000122,83.18933868
836.4000244,82.20608521
836.5999756,81.37672424
836.7999878,80.21596527
837,79.14739227
837.2000122,78.05493927
837.4000244,77.09404755
837.5999756,76.0435257
837.7999878,74.85320282
838,73.81296539
838.2000122,72.56799316
838.4000244,71.59848022
838.5999756,70.26469421
838.7999878,69.19363403
839,67.91810608
839.2000122,66.80986023
839.4000244,65.47834015
839.5999756,64.28314972
839.7999878,62.96068954
840,61.89935684
840.2000122,60.68937683
840.4000244,59.32354355
840.5999756,58.15694427
840.7999878,56.96821213
841,55.92490005
841.2000122,54.47980881
841.4000244,53.293293
841.5999756,52.02820206
841.7999878,50.94775391
842,49.68946838
842.2000122,48.58408356
842.4000244,47.32133865
842.5999756,46.32000732
842.7999878,45.13818359
843,43.89969635
843.2000122,42.85959244
843.4000244,41.80324554
843.5999756,40.95985794
843.7999878,39.82451248
844,38.99045181
844.2000122,38.06549454
844.4000244,37.38998413
844.5999756,36.42280579
844.7999878,35.64066315
845,34.89116287
845.2000122,34.27139664
845.4000244,33.49180984
845.5999756,32.68247604
845.7999878,31.98179817
846,31.26974106
846.2000122,30.60301781
846.4000244,29.75297928
846.5999756,29.08399963
846.7999878,28.3406086
847,27.74845695
847.2000122,26.9872818
847.4000244,26.3433342
847.5999756,25.59657097
847.7999878,25.03505898
848,24.32444954
848.2000122,23.65065002
848.4000244,23.0232563
848.5999756,22.41476822
848.7999878,21.85337257
849,21.14598656
849.2000122,20.62877655
849.4000244,19.98561859
849.5999756,19.52232933
849.7999878,18.83196068
850,18.28999519
850.2000122,17.71196365
850.4000244,17.21711349
850.5999756,16.64251137
850.7999878,16.08496094
851,15.56030369
851.2000122,15.0716753
851.4000244,14.60046577
851.5999756,14.01974964
851.7999878,13.57689762
852,13.06074429
852.2000122,12.66605663
852.4000244,12.14406681
852.5999756,11.71640491
852.7999878,11.24662113
853,10.88416576
853.2000122,10.41181183
853.4000244,9.964546204
853.5999756,9.564513206
853.7999878,9.172764778
854,8.826524734
854.2000122,8.396497726
854.4000244,8.062651634
854.5999756,7.698742867
854.7999878,7.397337437
855,7.004209518
855.2000122,6.674033165
855.4000244,6.332887173
855.5999756,6.055562973
855.7999878,5.739583492
856,5.443919659
856.2000122,5.141025543
856.4000244,4.893141747
856.5999756,4.633877277
856.7999878,4.337359428
857,4.099605083
857.2000122,3.8566432
857.4000244,3.659642458
857.5999756,3.39974761
857.7999878,3.201363325
858,2.974112988
858.2000122,2.80732131
858.4000244,2.579711199
858.5999756,2.390407324
858.7999878,2.21816206
859,2.063205004
859.2000122,1.9095819
859.4000244,1.740613818
859.5999756,1.606718063
859.7999878,1.472271681
860,1.362327576
860.2000122,1.222839952
860.4000244,1.11633873
860.5999756,1.001903296
860.7999878,0.915183246
861,0.812175691
861.2000122,0.728192747
861.4000244,0.642291069
861.5999756,0.578642666
861.7999878,0.510110796
862,0.440511942
862.2000122,0.388125569
862.4000244,0.338351309
862.5999756,0.297763079
862.7999878,0.251244485
863,0.220392108
863.2000122,0.186773837
863.4000244,0.165908113
863.5999756,0.137729168
863.7999878,0.117840469
864,0.098911524
864.2000122,0.08530888
864.4000244,0.073416173
864.5999756,0.060921542
864.7999878,0.053947896
865,0.04627778
865.2000122,0.041398179
865.4000244,0.034664866
865.5999756,0.030120671
865.7999878,0.026414879
866,0.024422329
866.2000122,0.02077646
866.4000244,0.019163601
866.5999756,0.017362118
866.7999878,0.015622189
867,0.01330152
867.2000122,0.011995
867.4000244,0.011540526
867.5999756,0.009499039
867.7999878,0.009459817
868,0.008429282
868.2000122,0.007768873
868.4000244,0.007593814
868.5999756,0.00735798
868.7999878,0.006596665
869,0.005897135
869.2000122,0.006114163
869.4000244,0.005919222
869.5999756,0.0056351
869.7999878,0.004705081
870,0.004225662
870.2000122,0.004593667
870.4000244,0.004108851
870.5999756,0.003701218
870.7999878,0.004579939
871,0.003258888
871.2000122,0.003540913
871.4000244,0.00300158
871.5999756,0.002685233
871.7999878,0.003274575
872,0.002527031
872.2000122,0.00253722
872.4000244,0.002484044
872.5999756,0.001759522
872.7999878,0.002818936
873,0.002693175
873.2000122,0.002722099
873.4000244,0.001971702
873.5999756,0.001529899
873.7999878,0.002258761
874,0.002263713
874.2000122,0.001851987
874.4000244,0.001881731
874.5999756,0.001799804
874.7999878,0.001768073
875,0.001563482
875.2000122,0.001565677
875.4000244,0.001520504
875.5999756,0.001449783
875.7999878,0.001212589
876,0.00134161
876.2000122,0.001254179
876.4000244,0.001232617
876.5999756,0.001472874
876.7999878,0.00089533
877,0.000689026
877.2000122,0.001182489
877.4000244,0.001092058
877.5999756,0.000951527
877.7999878,0.001347087
878,0.000505312
878.2000122,0.000991686
878.4000244,0.001038846
