Wavelength (nm),u
883.5999756,0.000473033
883.7999878,0.000806033
884,0.000643913
884.2000122,0.000545175
884.4000244,0.000314441
884.5999756,0.000745417
884.7999878,0.000291586
885,0.00051258
885.2000122,0.000421035
885.4000244,0.000340237
885.5999756,0.000391718
885.7999878,0.000358858
886,0.000730838
886.2000122,0.000319635
886.4000244,0.000271742
886.5999756,0.00046609
886.7999878,0.000736956
887,0.000562586
887.2000122,0.000404085
887.4000244,0.000643877
887.5999756,0.00069398
887.7999878,0.000170136
888,0.000588302
888.2000122,0.000100945
888.4000244,0.000416703
888.5999756,0.000853723
888.7999878,0.000622537
889,0.000678421
889.2000122,0.000969131
889.4000244,0.000281904
889.5999756,0.000981381
889.7999878,0.000940722
890,0.001023905
890.2000122,0.000514378
890.4000244,0.000683821
890.5999756,0.000420603
890.7999878,0.000550238
891,0.000855202
891.2000122,0.000723522
891.4000244,0.000593087
891.5999756,0.001323486
891.7999878,0.000791559
892,0.00135505
892.2000122,0.001536407
892.4000244,0.000985527
892.5999756,0.001271462
892.7999878,0.000683682
893,0.001171572
893.2000122,0.001177381
893.4000244,0.001201371
893.5999756,0.000844398
893.7999878,0.001427989
894,0.001219962
894.2000122,0.001621616
894.4000244,0.001505783
894.5999756,0.001675649
894.7999878,0.001667874
895,0.001495679
895.2000122,0.001445872
895.4000244,0.001714482
895.5999756,0.001440018
895.7999878,0.001656761
896,0.001778527
896.2000122,0.001952415
896.4000244,0.001968073
896.5999756,0.001936406
896.7999878,0.002151859
897,0.001883919
897.2000122,0.002149248
897.4000244,0.001941909
897.5999756,0.002453609
897.7999878,0.002168325
898,0.002684777
898.2000122,0.002254084
898.4000244,0.00232094
898.5999756,0.002625189
898.7999878,0.002664606
899,0.00240197
899.2000122,0.002706411
899.4000244,0.003038383
899.5999756,0.002550655
899.7999878,0.00267359
900,0.002633326
900.2000122,0.002654199
900.4000244,0.002779364
900.5999756,0.003205738
900.7999878,0.003236859
901,0.003062479
901.2000122,0.003047006
901.4000244,0.003354755
901.5999756,0.003081154
901.7999878,0.002876996
902,0.003590947
902.2000122,0.003319454
902.4000244,0.003739862
902.5999756,0.003394249
902.7999878,0.003570591
903,0.003728075
903.2000122,0.003462338
903.4000244,0.003598149
903.5999756,0.003775601
903.7999878,0.003832029
904,0.003755734
904.2000122,0.004164639
904.4000244,0.003787803
904.5999756,0.003805885
904.7999878,0.003667329
905,0.004133954
905.2000122,0.004231368
905.4000244,0.004043593
905.5999756,0.004335379
905.7999878,0.004359932
906,0.004235399
906.2000122,0.004419631
906.4000244,0.004337174
906.5999756,0.004450184
906.7999878,0.004571992
907,0.004360336
907.2000122,0.004399487
907.4000244,0.004822829
907.5999756,0.004744499
907.7999878,0.004662358
908,0.004886914
908.2000122,0.004733459
908.4000244,0.004948374
908.5999756,0.004888088
908.7999878,0.004840098
909,0.005035289
909.2000122,0.005096629
909.4000244,0.005224313
909.5999756,0.005053392
909.7999878,0.005115714
910,0.005356967
910.2000122,0.005261529
