Wavelength (nm),y
890,0.003583921
890.2000122,0.003079752
890.4000244,0.00344291
890.5999756,0.002853761
890.7999878,0.003583054
891,0.00380468
891.2000122,0.003320157
891.4000244,0.002895779
891.5999756,0.003770147
891.7999878,0.003299898
892,0.003128473
892.2000122,0.003582239
892.4000244,0.00286661
892.5999756,0.003611291
892.7999878,0.002692333
893,0.003337635
893.2000122,0.003084844
893.4000244,0.003256177
893.5999756,0.00296325
893.7999878,0.003223272
894,0.00315019
894.2000122,0.003577827
894.4000244,0.003217923
894.5999756,0.003391905
894.7999878,0.002898031
895,0.00352778
895.2000122,0.003059404
895.4000244,0.003091999
895.5999756,0.00322241
895.7999878,0.003292123
896,0.003214445
896.2000122,0.003230604
896.4000244,0.003328787
896.5999756,0.003303243
896.7999878,0.003225602
897,0.003065779
897.2000122,0.003346258
897.4000244,0.002990389
897.5999756,0.003039235
897.7999878,0.0031346
898,0.003203475
898.2000122,0.003237106
898.4000244,0.002840451
898.5999756,0.003061932
898.7999878,0.002961579
899,0.002949551
899.2000122,0.003083349
899.4000244,0.00364296
899.5999756,0.003313694
899.7999878,0.00300339
900,0.003171589
900.2000122,0.00305105
900.4000244,0.002945727
900.5999756,0.00333688
900.7999878,0.00317093
901,0.003476418
901.2000122,0.002852627
901.4000244,0.003073431
901.5999756,0.00282141
901.7999878,0.002743026
902,0.003285441
902.2000122,0.00301124
902.4000244,0.003288056
902.5999756,0.002978347
902.7999878,0.003102955
903,0.003202968
903.2000122,0.00275298
903.4000244,0.002835696
903.5999756,0.002907258
903.7999878,0.003070079
904,0.003163935
904.2000122,0.003263179
904.4000244,0.003068206
904.5999756,0.002947731
904.7999878,0.003009055
905,0.002863378
905.2000122,0.003225976
905.4000244,0.002972589
905.5999756,0.00309673
905.7999878,0.003201835
906,0.002872397
906.2000122,0.003379471
906.4000244,0.003392811
906.5999756,0.002939258
906.7999878,0.003235854
907,0.002972227
907.2000122,0.003373118
907.4000244,0.003046107
907.5999756,0.003114378
907.7999878,0.003232498
908,0.003264941
908.2000122,0.00324283
908.4000244,0.003391824
908.5999756,0.003284224
908.7999878,0.003086644
909,0.003477107
909.2000122,0.003027612
909.4000244,0.003277426
909.5999756,0.003371082
909.7999878,0.003243055
910,0.003416438
910.2000122,0.00339918
910.4000244,0.003157323
910.5999756,0.003214531
910.7999878,0.003321412
911,0.003260983
911.2000122,0.003212218
911.4000244,0.00353706
911.5999756,0.003404677
911.7999878,0.003488521
912,0.003583058
912.2000122,0.003688266
912.4000244,0.003674967
912.5999756,0.003632217
912.7999878,0.00378396
913,0.00365398
913.2000122,0.003901929
913.4000244,0.004015368
913.5999756,0.004106546
913.7999878,0.003799301
914,0.004105369
914.2000122,0.004397035
914.4000244,0.004287893
914.5999756,0.004304661
914.7999878,0.004269753
915,0.004381299
915.2000122,0.004447385
915.4000244,0.004658407
915.5999756,0.004853312
915.7999878,0.004696888
916,0.004820088
916.2000122,0.005011633
916.4000244,0.005003465
916.5999756,0.005455677
916.7999878,0.005164943
917,0.005430853
917.2000122,0.005518065
917.4000244,0.005949604
917.5999756,0.005922853
917.7999878,0.005983984
918,0.006278311
918.2000122,0.006438964
918.4000244,0.006726662
918.5999756,0.007019096
918.7999878,0.0071639
919,0.007252712
919.2000122,0.007725886
919.4000244,0.007778234
919.5999756,0.00819211
919.7999878,0.008783369
920,0.008733672
920.2000122,0.009302708
920.4000244,0.009864223
920.5999756,0.010261377
920.7999878,0.010623774
921,0.011489277
921.2000122,0.011909184
921.4000244,0.012605582
921.5999756,0.013410569
921.7999878,0.014098434
922,0.015091276
922.2000122,0.015754309
922.4000244,0.017036572
922.5999756,0.018135795
922.7999878,0.019797996
923,0.021006167
923.2000122,0.02336859
923.4000244,0.025007358
923.5999756,0.027200906
923.7999878,0.029390421
924,0.032346983
924.2000122,0.036170885
924.4000244,0.039764248
924.5999756,0.044406913
924.7999878,0.048756275
925,0.055266671
925.2000122,0.061237752
925.4000244,0.069349982
925.5999756,0.076994956
925.7999878,0.08987125
926,0.103332758
926.2000122,0.119602241
926.4000244,0.136478722
926.5999756,0.158722088
926.7999878,0.18629089
927,0.21809864
927.2000122,0.254040062
927.4000244,0.292561144
927.5999756,0.354002088
927.7999878,0.409123361
928,0.478918999
928.2000122,0.540413261
928.4000244,0.638631463
928.5999756,0.727120936
928.7999878,0.843049765
929,0.939930141
929.2000122,1.077286482
929.4000244,1.21908474
929.5999756,1.357623458
929.7999878,1.509749889
930,1.65326333
930.2000122,1.846826434
930.4000244,2.007107496
930.5999756,2.209894657
930.7999878,2.369148016
931,2.618339539
931.2000122,2.821818113
931.4000244,3.06767869
931.5999756,3.280247688
931.7999878,3.536359549
932,3.799622059
932.2000122,4.069334984
932.4000244,4.326329231
932.5999756,4.580612659
932.7999878,4.930755615
933,5.193973541
933.2000122,5.116763115
933.4000244,5.726080894
933.5999756,5.272834778
933.7999878,5.372655869
934,5.701874733
934.2000122,5.723258018
934.4000244,5.403144836
934.5999756,6.061667442
934.7999878,5.6647439
935,6.375814915
935.2000122,6.16019392
935.4000244,6.103217602
935.5999756,6.179898262
935.7999878,6.349804401
936,6.433738232
936.2000122,6.57576561
936.4000244,6.727870464
936.5999756,6.931729794
936.7999878,6.991520405
937,7.192682266
937.2000122,7.393520355
937.4000244,7.524850845
937.5999756,7.677540779
937.7999878,7.871729851
938,8.108181953
938.2000122,8.273627281
938.4000244,8.499603271
938.5999756,8.591939926
938.7999878,8.934339523
939,9.050254822
939.2000122,9.331309319
939.4000244,9.527899742
939.5999756,9.763463974
939.7999878,10.08441544
940,10.32548046
940.2000122,10.65843678
940.4000244,10.87032223
940.5999756,11.26948071
940.7999878,11.53279877
941,11.87743282
941.2000122,12.19299412
941.4000244,12.60838699
941.5999756,13.04508877
941.7999878,13.51932144
942,13.89063454
942.2000122,14.44822407
942.4000244,14.96225452
942.5999756,15.57345867
942.7999878,16.05331993
943,16.70312691
943.2000122,17.48759842
943.4000244,18.19642448
943.5999756,18.89777565
943.7999878,19.62112045
944,20.62513924
944.2000122,21.38957024
944.4000244,22.43022728
944.5999756,23.22166061
944.7999878,24.39672089
945,25.53359795
945.2000122,26.74709511
945.4000244,27.81705856
945.5999756,29.11510468
945.7999878,30.54702568
946,31.91559601
946.2000122,33.4308815
946.4000244,34.77433777
946.5999756,36.75006104
946.7999878,38.45373154
947,40.38540268
947.2000122,42.08382797
947.4000244,44.45949173
947.5999756,46.5733223
947.7999878,49.17300415
948,51.34173203
948.2000122,54.13293076
948.4000244,57.01197815
948.5999756,59.64778519
948.7999878,62.25808334
949,64.72464752
949.2000122,67.79655457
949.4000244,70.11962128
949.5999756,72.79193115
949.7999878,74.91186523
950,77.54988098
950.2000122,79.61473846
950.4000244,81.77775574
950.5999756,83.3615036
950.7999878,85.08434296
951,86.69384003
951.2000122,88.05426025
951.4000244,89.15048981
951.5999756,90.08174133
951.7999878,91.042099
952,91.81005096
952.2000122,92.41946411
952.4000244,92.91625977
952.5999756,93.50920868
952.7999878,93.8370285
953,94.2676239
953.2000122,94.51158142
953.4000244,94.89591217
953.5999756,95.24929047
953.7999878,95.41542816
954,95.73699188
954.2000122,95.95883179
954.4000244,96.33644867
954.5999756,96.56169128
954.7999878,96.84338379
955,96.93800354
955.2000122,97.21588898
955.4000244,97.3889389
955.5999756,97.56520844
955.7999878,97.66188049
956,97.81673431
956.2000122,97.94282532
956.4000244,98.05528259
956.5999756,98.0687027
956.7999878,98.12352753
957,98.05609894
957.2000122,98.12236786
957.4000244,98.10082245
957.5999756,98.04660034
957.7999878,98.04642487
958,97.98236847
958.2000122,97.95718384
958.4000244,97.97452545
958.5999756,97.95896149
958.7999878,97.90635681
959,97.90632629
959.2000122,97.90170288
959.4000244,97.89710999
959.5999756,97.89060211
959.7999878,97.9276886
960,97.95846558
960.2000122,98.06033325
960.4000244,98.23448181
960.5999756,98.09986115
960.7999878,98.14713287
961,98.23680878
961.2000122,98.36921692
961.4000244,98.35189819
961.5999756,98.45397949
961.7999878,98.54116821
962,98.63928986
962.2000122,98.63620758
962.4000244,98.69731903
962.5999756,98.79511261
962.7999878,98.74197388
963,98.89582825
963.2000122,98.85905457
963.4000244,98.97637939
963.5999756,98.92015076
963.7999878,98.93600464
964,98.99027252
964.2000122,98.9260025
964.4000244,99.00521851
964.5999756,98.97740173
964.7999878,98.96134949
965,99.00015259
965.2000122,99.01660919
965.4000244,98.99075317
965.5999756,98.90913391
965.7999878,98.96982574
966,98.88554382
966.2000122,98.87065125
966.4000244,98.78794098
966.5999756,98.70387268
966.7999878,98.64156342
967,98.55091095
967.2000122,98.49134827
967.4000244,98.55882263
967.5999756,98.45743561
967.7999878,98.47546387
968,98.40180206
968.2000122,98.3097229
968.4000244,98.17086792
968.5999756,98.29904175
968.7999878,98.17774963
969,98.17140198
969.2000122,98.25078583
969.4000244,98.12240601
969.5999756,98.10321045
969.7999878,98.04489899
970,98.1211319
970.2000122,98.05709076
970.4000244,98.10476685
