Wavelength (nm),g
808.4000244,0.002890263
808.5999756,0.005399977
808.7999878,0.002588786
809,0.003885054
809.2000122,0.003172378
809.4000244,0.003822463
809.5999756,0.004346772
809.7999878,0.004195764
810,0.006150923
810.2000122,0.003897338
810.4000244,0.005883421
810.5999756,0.003958722
810.7999878,0.004556847
811,0.003835082
811.2000122,0.004241542
811.4000244,0.003697119
811.5999756,0.003706465
811.7999878,0.005629907
812,0.004760857
812.2000122,0.004898591
812.4000244,0.005223765
812.5999756,0.004291612
812.7999878,0.003361407
813,0.004029324
813.2000122,0.003461571
813.4000244,0.002770946
813.5999756,0.00272688
813.7999878,0.00404604
814,0.003697006
814.2000122,0.00255356
814.4000244,0.005298807
814.5999756,0.005586969
814.7999878,0.005244276
815,0.002675328
815.2000122,0.004150324
815.4000244,0.001855053
815.5999756,0.004654731
815.7999878,0.003361778
816,0.0041991
816.2000122,0.004438439
816.4000244,0.004018032
816.5999756,0.002745336
816.7999878,0.004905679
817,0.002929996
817.2000122,0.004355063
817.4000244,0.004487215
817.5999756,0.005873549
817.7999878,0.006345414
818,0.003383596
818.2000122,0.004963556
818.4000244,0.003754063
818.5999756,0.005743887
818.7999878,0.003988579
819,0.004013698
819.2000122,0.003408604
819.4000244,0.001992262
819.5999756,0.00376551
819.7999878,0.002268138
820,0.005041634
820.2000122,0.004469462
820.4000244,0.004119994
820.5999756,0.00416509
820.7999878,0.004092914
821,0.00335661
821.2000122,0.003977081
821.4000244,0.004879994
821.5999756,0.004058897
821.7999878,0.003205241
822,0.004964055
822.2000122,0.003021489
822.4000244,0.005503922
822.5999756,0.005064733
822.7999878,0.004244564
823,0.004346239
823.2000122,0.003887512
823.4000244,0.003721217
823.5999756,0.003232735
823.7999878,0.005306426
824,0.004744107
824.2000122,0.004941169
824.4000244,0.004221633
824.5999756,0.003641858
824.7999878,0.004307868
825,0.004438629
825.2000122,0.004845188
825.4000244,0.003815646
825.5999756,0.003788837
825.7999878,0.003794235
826,0.004121923
826.2000122,0.00446765
826.4000244,0.004188463
826.5999756,0.004494725
826.7999878,0.005569402
827,0.003034009
827.2000122,0.003103849
827.4000244,0.003222344
827.5999756,0.004499844
827.7999878,0.004470715
828,0.003042302
828.2000122,0.005568467
828.4000244,0.004229017
