Wavelength (nm),r
1101,0.069189481
1102,0.064521082
1103,0.060661756
1104,0.058458008
1105,0.057885621
1106,0.059131302
1107,0.058034081
1108,0.057621695
1109,0.059202239
1110,0.061817449
1111,0.063323885
1112,0.069372952
1113,0.071769863
1114,0.078604452
1115,0.090305351
1116,0.101916134
1117,0.119596735
1118,0.146127284
1119,0.180809811
1120,0.237167507
1121,0.324700624
1122,0.475320131
1123,0.723495901
1124,1.140054464
1125,1.834544897
1126,2.723505974
1127,3.660274029
1128,4.157938957
1129,4.061910152
1130,3.579494715
1131,3.124705076
1132,2.754786491
1133,2.558310509
1134,2.486871719
1135,2.564581394
1136,2.764214516
1137,3.089342594
1138,3.580981016
1139,4.305258274
1140,5.273288727
1141,6.573677063
1142,8.130475998
1143,9.824768066
1144,11.39447975
1145,12.40303421
1146,12.71291256
1147,12.45758533
1148,12.03315544
1149,11.70884132
1150,11.55971813
