Wavelength (nm),z
631.1199951,-0.023526469
630.9400024,-0.023441566
630.7600098,-0.023485795
630.5800171,-0.023279248
630.4000244,-0.02323343
630.2200317,-0.023222165
630.039978,-0.022969993
629.8599854,-0.023182007
629.6799927,-0.02351974
629.5,-0.02329764
629.3200073,-0.023060013
629.1400146,-0.023371439
628.960022,-0.022694249
628.7800293,-0.022818424
628.5999756,-0.022748265
628.4199829,-0.022796936
628.2399902,-0.022802487
628.0599976,-0.022292819
627.8800049,-0.022515588
627.7000122,-0.022093104
627.5200195,-0.021501295
627.3400269,-0.021613229
627.1599731,-0.020733334
626.9799805,-0.021232571
626.7999878,-0.021005055
626.6199951,-0.020357309
626.4400024,-0.019835899
626.2600098,-0.019598067
626.0800171,-0.019527745
625.9000244,-0.018740516
625.7200317,-0.018475212
625.539978,-0.017433381
625.3599854,-0.016743517
625.1799927,-0.016312813
625,-0.015791023
624.8200073,-0.015321897
624.6400146,-0.014952553
624.460022,-0.014865563
624.2800293,-0.01418194
624.0999756,-0.014114434
623.9199829,-0.013951831
623.7399902,-0.013973223
623.5599976,-0.014706877
623.3800049,-0.014686554
623.2000122,-0.015321216
623.0200195,-0.015736828
622.8400269,-0.016330097
622.6599731,-0.016871536
622.4799805,-0.017813371
622.2999878,-0.018051742
622.1199951,-0.018358899
621.9400024,-0.019603353
621.7600098,-0.019521115
621.5800171,-0.020403538
621.4000244,-0.020346312
621.2200317,-0.020988209
621.039978,-0.021079479
620.8599854,-0.022167383
620.6799927,-0.022127217
620.5,-0.021957643
620.3200073,-0.022664391
620.1400146,-0.022651983
619.960022,-0.022899054
619.7800293,-0.023389306
619.5999756,-0.023184001
619.4199829,-0.023821909
619.2399902,-0.02356666
619.0599976,-0.024034411
618.8800049,-0.023876272
618.7000122,-0.024361912
618.5200195,-0.024079492
618.3400269,-0.02447856
618.1599731,-0.023791656
617.9799805,-0.024407627
617.7999878,-0.024284871
617.6199951,-0.024106834
617.4400024,-0.024277007
617.2600098,-0.024414383
617.0800171,-0.024861196
616.9000244,-0.024534998
616.7200317,-0.024876004
616.539978,-0.024689285
616.3599854,-0.024969513
616.1799927,-0.024824124
616,-0.024966896
615.8200073,-0.024628831
615.6400146,-0.024980994
615.460022,-0.025109757
615.2800293,-0.024835149
615.0999756,-0.02504614
614.9199829,-0.025262114
614.7399902,-0.025083404
614.5599976,-0.025244575
614.3800049,-0.025245445
614.2000122,-0.025064116
614.0200195,-0.025239782
613.8400269,-0.025415543
613.6599731,-0.025403691
613.4799805,-0.025165992
613.2999878,-0.025330126
613.1199951,-0.025060862
612.9400024,-0.025161123
612.7600098,-0.025416739
612.5800171,-0.025304655
612.4000244,-0.025378462
612.2200317,-0.025397617
612.039978,-0.025452755
611.8599854,-0.0249779
611.6799927,-0.025547875
611.5,-0.025348144
611.3200073,-0.025839068
611.1400146,-0.025685241
610.960022,-0.025500031
610.7800293,-0.025601363
610.5999756,-0.025338529
610.4199829,-0.024985598
610.2399902,-0.025382141
610.0599976,-0.025478674
609.8800049,-0.025005057
609.7000122,-0.025336372
609.5200195,-0.025537601
609.3400269,-0.025227221
609.1599731,-0.025510157
608.9799805,-0.025384691
608.7999878,-0.025931327
608.6199951,-0.025346838
608.4400024,-0.025326636
608.2600098,-0.025736924
608.0800171,-0.025503876
607.9000244,-0.025422722
607.7200317,-0.025867147
607.539978,-0.025281807
607.3599854,-0.025760606
607.1799927,-0.025420394
607,-0.025417056
606.8200073,-0.025377097
606.6400146,-0.025487561
606.460022,-0.024947379
606.2800293,-0.025445625
606.0999756,-0.025286464
605.9199829,-0.02560438
605.7399902,-0.025371473
605.5599976,-0.025408141
605.3800049,-0.025218451
605.2000122,-0.025316359
605.0200195,-0.025488101
604.8400269,-0.025147755
604.6599731,-0.025465395
604.4799805,-0.025438517
604.2999878,-0.024925401
604.1199951,-0.025290681
603.9400024,-0.024788026
603.7600098,-0.024786994
603.5800171,-0.025009789
603.4000244,-0.02498067
603.2199707,-0.024865113
603.039978,-0.02464202
602.8599854,-0.024673171
602.6799927,-0.02406824
602.5,-0.024542155
602.3200073,-0.024499899
602.1400146,-0.024244245
601.960022,-0.02418036
601.7800293,-0.023739699
601.5999756,-0.023775695
601.4199829,-0.023452474
601.2399902,-0.023343401
601.0599976,-0.023727041
600.8800049,-0.023116458
600.7000122,-0.023310808
600.5200195,-0.02277139
600.3400269,-0.022684736
600.1599731,-0.022631951
599.9799805,-0.022539539
599.7999878,-0.022607602
599.6199951,-0.022486392
599.4400024,-0.022446478
599.2600098,-0.022194287
599.0800171,-0.022242138
598.9000244,-0.021868413
598.7199707,-0.022205591
598.539978,-0.022340115
598.3599854,-0.02229226
598.1799927,-0.022331491
598,-0.022456907
597.8200073,-0.022888174
597.6400146,-0.023276037
597.460022,-0.023150701
597.2800293,-0.023406671
597.0999756,-0.023554029
596.9199829,-0.023502426
596.7399902,-0.023522761
596.5599976,-0.024525987
596.3800049,-0.023947293
596.2000122,-0.024348177
596.0200195,-0.024952285
595.8400269,-0.02509208
595.6599731,-0.025161888
595.2999878,-0.025440127
595.4799805,-0.025506478
595.1199951,-0.025799405
594.9400024,-0.025657434
594.7600098,-0.025785295
594.5800171,-0.025847476
594.4000244,-0.025841251
594.2199707,-0.02650688
594.039978,-0.026476026
593.8599854,-0.02590676
593.6799927,-0.026498957
593.5,-0.026210764
593.3200073,-0.026938887
593.1400146,-0.026542217
592.960022,-0.026474498
592.7800293,-0.027059961
592.5999756,-0.026665401
592.4199829,-0.026612585
592.2399902,-0.026676115
592.0599976,-0.027041586
591.8800049,-0.02680245
591.7000122,-0.026643446
591.5200195,-0.026779214
591.3400269,-0.027113905
591.1599731,-0.026518648
590.9799805,-0.026945433
590.7999878,-0.027234402
590.6199951,-0.027131429
590.4400024,-0.027123844
590.2600098,-0.026533576
590.0800171,-0.026420902
589.9000244,-0.027031632
589.7199707,-0.027270859
589.539978,-0.027037604
589.3599854,-0.026997473
589.1799927,-0.02679863
589,-0.026825909
588.8200073,-0.026725389
588.6400146,-0.027066698
588.460022,-0.027392689
588.2800293,-0.026990529
588.0999756,-0.02706304
587.9199829,-0.027122308
587.7399902,-0.026893966
587.5599976,-0.0270666
587.3800049,-0.026563995
587.2000122,-0.026683226
587.0200195,-0.026961477
586.8400269,-0.026863897
586.6599731,-0.026760219
586.4799805,-0.026878104
586.2999878,-0.02701569
586.1199951,-0.02695057
585.9400024,-0.026727121
585.7600098,-0.026489891
585.5800171,-0.027052607
