Wavelength (nm),zs
818.2000122,25.36692238
818.4000244,25.97978783
818.5999756,26.62142563
818.7999878,27.43115044
819,28.08945847
819.2000122,28.83097267
819.4000244,29.43215942
819.5999756,30.30835152
819.7999878,30.97917175
820,31.76385498
820.2000122,32.43188858
820.4000244,33.30195999
820.5999756,34.06735992
820.7999878,34.86463165
821,35.64078903
821.2000122,36.41666794
821.4000244,37.30253983
821.5999756,38.08502579
821.7999878,38.91180038
822,39.63529587
822.2000122,40.6087532
822.4000244,41.42375565
822.5999756,42.29394913
822.7999878,42.99254608
823,43.94572449
823.2000122,44.75599289
823.4000244,45.60544586
823.5999756,46.34869385
823.7999878,47.20579147
824,48.12175369
824.2000122,48.9171257
824.4000244,49.76232529
824.5999756,50.48170853
824.7999878,51.50967407
825,52.32051086
825.2000122,53.29553604
825.4000244,54.07694626
825.5999756,55.1833992
825.7999878,56.11722565
826,57.15000153
826.2000122,58.01329803
826.4000244,58.97883224
826.5999756,60.05223465
826.7999878,61.05428314
827,62.00398636
827.2000122,62.88225555
827.4000244,64.06800079
827.5999756,65.01931763
827.7999878,66.08408356
828,66.91866302
828.2000122,68.0705719
828.4000244,69.02880096
828.5999756,70.14681244
828.7999878,71.00415039
829,72.02335358
829.2000122,73.05969238
829.4000244,73.98801422
829.5999756,74.92401886
829.7999878,75.78834534
830,76.93845367
830.2000122,77.72787476
830.4000244,78.73137665
830.5999756,79.45822144
830.7999878,80.4704361
831,81.39412689
831.2000122,82.28373718
831.4000244,82.96707153
831.5999756,83.93359375
831.7999878,84.71520233
832,85.52336884
832.2000122,86.28898621
832.4000244,86.97745514
832.5999756,87.85659027
832.7999878,88.44458771
833,89.13011169
833.2000122,89.74282837
833.4000244,90.45121765
833.5999756,90.97013855
833.7999878,91.67353058
834,92.1569519
834.2000122,92.77002716
834.4000244,93.21925354
834.5999756,93.77870178
834.7999878,94.20431519
835,94.55199432
835.2000122,95.05395508
835.4000244,95.44477844
835.5999756,95.72356415
835.7999878,96.09326172
836,96.39875793
836.2000122,96.70988464
836.4000244,96.91809082
836.5999756,97.1647644
836.7999878,97.29612732
837,97.4691925
837.2000122,97.5739975
837.4000244,97.76109314
837.5999756,97.86010742
837.7999878,98.08882141
838,98.13463593
838.2000122,98.20883179
838.4000244,98.28535461
838.5999756,98.2085495
838.7999878,98.38506317
839,98.40525055
839.2000122,98.35935211
839.4000244,98.4356308
839.5999756,98.55270386
839.7999878,98.57914734
840,98.5707016
840.2000122,98.58771515
840.4000244,98.64377594
840.5999756,98.69564056
840.7999878,98.73733521
841,98.78433228
841.2000122,98.85948181
841.4000244,98.73255157
841.5999756,98.80713654
841.7999878,98.77413177
842,98.91139221
842.2000122,98.93037415
842.4000244,98.93319702
842.5999756,98.92137146
842.7999878,98.86979675
843,98.86161804
843.2000122,98.87614441
843.4000244,98.88890076
843.5999756,99.02039337
843.7999878,98.96846771
844,98.94469452
844.2000122,99.00782013
844.4000244,99.08407593
844.5999756,98.98743439
844.7999878,98.98544312
845,99.00630951
845.2000122,99.08745575
845.4000244,99.09175873
845.5999756,99.04660797
845.7999878,99.07163239
846,99.04325867
846.2000122,99.07767487
846.4000244,99.09496307
846.5999756,99.09181976
846.7999878,99.18476105
847,99.17150116
847.2000122,99.0719986
847.4000244,99.08145905
847.5999756,99.05461121
847.7999878,99.15364075
848,99.0927887
848.2000122,99.10961914
848.4000244,99.15066528
848.5999756,99.15197754
848.7999878,99.03862
849,99.13745117
849.2000122,99.09069824
849.4000244,99.06051636
849.5999756,99.1179657
849.7999878,99.07427216
850,99.0324173
850.2000122,99.09142303
850.4000244,99.13967133
850.5999756,99.06999207
850.7999878,99.11328888
851,99.13573456
851.2000122,99.11784363
851.4000244,99.02411652
851.5999756,99.01623535
851.7999878,99.07415771
852,99.04615784
852.2000122,99.1394577
852.4000244,99.00255585
852.5999756,98.95157623
852.7999878,99.04915619
853,99.03041077
853.2000122,99.02746582
853.4000244,99.05955505
853.5999756,99.06882477
853.7999878,98.94780731
854,99.07718658
854.2000122,99.01438904
854.4000244,98.98116302
854.5999756,98.99133301
854.7999878,98.96007538
855,99.05943298
855.2000122,99.0019455
855.4000244,99.01742554
855.5999756,99.05008698
855.7999878,99.00413513
856,99.06124115
856.2000122,99.02004242
856.4000244,99.0018692
856.5999756,99.03002167
856.7999878,99.04772949
857,98.9870224
857.2000122,99.03808594
857.4000244,99.02351379
857.5999756,99.05838013
857.7999878,99.08591461
858,99.09637451
858.2000122,99.08258057
858.4000244,99.07912445
858.5999756,99.02069855
858.7999878,99.06531525
859,99.13397217
859.2000122,99.0983429
859.4000244,99.08482361
859.5999756,99.04811096
859.7999878,99.05909729
860,99.07137299
860.2000122,99.11791229
860.4000244,99.1410675
860.5999756,99.08486176
860.7999878,99.07741547
